client_id,full_name,document_id,phone,email,preferred_channel,created_at,status
1,doro bryan,888691750,+6797861583,dbryan0@hc360.com,whatsapp,2018-10-22,former_client
2,natividad shoosmith,844206464,+3528977406,nshoosmith1@constantcontact.com,email,2026-05-09,trial_customer
3,leigh slatter,787830579,+1838229371,lslatter2@ft.com,email,2026-09-12,loyal_customer
4,eugine tonsley,143020634,+2708302051,etonsley3@berkeley.edu,phone,2019-01-22,potential_lead
5,farleigh parsall,540752070,+2878917344,fparsall4@wiley.com,whatsapp,2022-07-09,active_client
6,anastasie raise,813605268,+3832273845,araise5@thetimes.co.uk,whatsapp,2019-03-22,active_client
7,addy berry,752150250,+2839739398,aberry6@cmu.edu,phone,2018-07-30,trial_customer
8,danna spence,157289201,+6784231520,dspence7@over-blog.com,whatsapp,2021-07-11,active_client
9,shirlee catonne,559070143,+3269886837,scatonne8@boston.com,whatsapp,2019-05-09,potential_lead
10,ollie roberto,520197861,+4251913984,oroberto9@guardian.co.uk,whatsapp,2019-12-09,former_client
11,hieronymus rennock,691305280,+1971398373,hrennocka@flickr.com,whatsapp,2023-07-01,active_client
12,nana sorrell,134794600,+8346921321,nsorrellb@xrea.com,whatsapp,2024-03-22,potential_lead
13,rosamond fraschini,263321689,+2288149075,rfraschinic@vk.com,phone,2023-05-01,potential_lead
14,lonni abelovitz,519247536,+6237653810,labelovitzd@booking.com,whatsapp,2024-02-04,churned
15,claudette shawyer,639258433,+5116435955,cshawyere@webnode.com,email,2020-05-22,potential_lead
16,beale longridge,189893374,+3663207327,blongridgef@cnn.com,whatsapp,2020-05-10,former_client
17,isobel foad,345491403,+1872347921,ifoadg@twitter.com,phone,2018-02-03,former_client
18,paton pothergill,493243684,+5101410119,ppothergillh@dagondesign.com,phone,2022-03-15,churned
19,lucita peppin,884568111,+6481044394,lpeppini@ucsd.edu,whatsapp,2018-06-12,potential_lead
20,raleigh sindell,759841801,+9323796910,rsindellj@cmu.edu,email,2026-09-12,trial_customer
21,nerte duester,759649769,+6407056748,nduesterk@nydailynews.com,phone,2021-10-26,churned
22,hanni barbrook,174327244,+3859472198,hbarbrookl@archive.org,phone,2020-02-10,trial_customer
23,josephina langabeer,305743972,+8625280340,jlangabeerm@altervista.org,phone,2024-07-13,former_client
24,flo cove,418101393,+4946298439,fcoven@amazonaws.com,email,2020-05-02,former_client
25,corinne goodisson,840881567,+2105138778,cgoodissono@google.cn,whatsapp,2024-11-21,churned
26,brietta brecknell,808479319,+5205565358,bbrecknellp@cpanel.net,whatsapp,2022-10-07,churned
27,mary vel,589360039,+7263270480,mvelq@vinaora.com,email,2021-06-27,former_client
28,odelinda cubbon,119991828,+1171526605,ocubbonr@surveymonkey.com,phone,2019-10-11,active_client
29,rennie tockell,355738154,+6052402015,rtockells@wikia.com,whatsapp,2021-07-29,churned
30,raffaello pontin,852788055,+5527795681,rpontint@scribd.com,whatsapp,2018-09-22,churned
31,leta fisbey,334261028,+3209038752,lfisbeyu@goodreads.com,phone,2023-01-10,potential_lead
32,adan burbridge,620396072,+5232101958,aburbridgev@clickbank.net,whatsapp,2025-05-20,trial_customer
33,babbette ricoald,463438350,+7587234908,bricoaldw@biglobe.ne.jp,whatsapp,2018-09-09,former_client
34,nolan joysey,574856811,+6722260974,njoyseyx@simplemachines.org,whatsapp,2026-04-13,churned
35,franciska harses,799320012,+7534474531,fharsesy@ezinearticles.com,email,2023-10-25,active_client
36,tamqrah teape,441528841,+3062871593,tteapez@163.com,phone,2022-02-11,active_client
37,di krol,699110814,+7317137316,dkrol10@ameblo.jp,email,2024-05-31,potential_lead
38,theodora fulun,671405871,+4162461737,tfulun11@sun.com,phone,2026-09-12,trial_customer
39,row sterricker,581203386,+8606188433,rsterricker12@godaddy.com,whatsapp,2022-11-05,active_client
40,laird crees,457548601,+9437950108,lcrees13@umn.edu,phone,2021-09-25,former_client
41,bernette garrattley,352219242,+3799462212,bgarrattley14@de.vu,email,2021-08-30,active_client
42,cassaundra pledge,726106019,+9906398710,cpledge15@gov.uk,whatsapp,2019-12-27,churned
43,karlens barhims,785703915,+6382535071,kbarhims16@webmd.com,phone,2020-10-09,potential_lead
44,bobby glentz,585737355,+2266997295,bglentz17@soundcloud.com,phone,2019-01-02,potential_lead
45,gregg ridges,494748298,+7224252041,gridges18@economist.com,whatsapp,2019-06-17,potential_lead
46,maxy chifney,727169006,+4943436140,mchifney19@webs.com,whatsapp,2021-10-30,former_client
47,talbert pitson,723153522,+6014708227,tpitson1a@naver.com,whatsapp,2024-05-29,potential_lead
48,karen shovelton,702089350,+5249546887,kshovelton1b@printfriendly.com,email,2023-01-17,active_client
49,querida rilings,255565040,+5306922740,qrilings1c@abc.net.au,phone,2018-01-21,former_client
50,oby delafield,588383797,+5387702245,odelafield1d@jalbum.net,whatsapp,2025-02-02,former_client
51,felipe calvie,230059855,+6944443534,fcalvie1e@quantcast.com,phone,2025-04-08,churned
52,dion tschiersch,753661626,+4268578880,dtschiersch1f@redcross.org,whatsapp,2025-01-19,trial_customer
53,quintana pietzke,188326476,+9889585261,qpietzke1g@epa.gov,phone,2025-09-22,potential_lead
54,ellswerth cecely,787074045,+9137541736,ececely1h@epa.gov,phone,2020-05-09,active_client
55,robinette kubes,844607742,+5927626180,rkubes1i@bloglines.com,whatsapp,2024-05-07,former_client
56,carrol cristoforetti,380935110,+9508612876,ccristoforetti1j@mozilla.com,whatsapp,2022-04-19,trial_customer
57,julie egdale,474258478,+2878865049,jegdale1k@paypal.com,email,2025-05-06,churned
58,goran akenhead,855685642,+2466448863,gakenhead1l@ocn.ne.jp,whatsapp,2018-08-31,loyal_customer
59,lorine copnar,890185113,+6537473695,lcopnar1m@themeforest.net,whatsapp,2024-03-21,former_client
60,leesa tench,451189798,+6582001815,ltench1n@google.it,whatsapp,2019-06-11,trial_customer
61,pierce hardingham,525167771,+2514170895,phardingham1o@nih.gov,phone,2025-05-02,former_client
62,mala matchett,865718532,+9242652325,mmatchett1p@google.it,phone,2024-10-02,potential_lead
63,wang towll,603826316,+2151733752,wtowll1q@cmu.edu,whatsapp,2021-11-26,loyal_customer
64,teirtza southby,170364305,+8122397392,tsouthby1r@prweb.com,phone,2023-01-18,active_client
65,torey baal,524479184,+5492066579,tbaal1s@paginegialle.it,phone,2023-12-29,trial_customer
66,stormi mccusker,171373076,+2666241405,smccusker1t@4shared.com,whatsapp,2022-01-20,loyal_customer
67,wylma zupa,268882542,+4877748302,wzupa1u@opensource.org,email,2021-08-17,loyal_customer
68,carmelia ohm,533620121,+9776684280,cohm1v@arstechnica.com,whatsapp,2023-07-09,potential_lead
69,hew levin,526630925,+5072436999,hlevin1w@jigsy.com,whatsapp,2018-12-19,potential_lead
70,tomasina itzik,470211943,+2106032759,titzik1x@clickbank.net,email,2026-05-09,potential_lead
71,petey doog,663527337,+9209650279,pdoog1y@php.net,phone,2023-02-22,churned
72,bev lumbly,364622540,+6134818981,blumbly1z@livejournal.com,email,2023-12-10,former_client
73,glenine loreit,763050889,+1668380437,gloreit20@dion.ne.jp,phone,2024-09-27,churned
74,clarence deabill,665315972,+8255146186,cdeabill21@discuz.net,whatsapp,2019-09-13,potential_lead
75,chilton hanvey,451912675,+8606878854,chanvey22@behance.net,email,2024-12-07,active_client
76,chantalle tabourin,245898921,+1267532760,ctabourin23@pbs.org,whatsapp,2019-02-01,former_client
77,lanny biggin,295885941,+9594158753,lbiggin24@earthlink.net,whatsapp,2024-12-01,potential_lead
78,calida cockin,146200856,+2317402963,ccockin25@disqus.com,whatsapp,2020-12-27,potential_lead
79,marketa everex,318372947,+6784324016,meverex26@bloomberg.com,whatsapp,2019-01-29,churned
80,bibi toopin,260503908,+1424010653,btoopin27@g.co,email,2023-12-23,loyal_customer
81,kendricks sharrem,681829839,+4424340703,ksharrem28@springer.com,whatsapp,2018-10-31,churned
82,rayner gainfort,379304747,+3779074304,rgainfort29@paypal.com,whatsapp,2024-07-29,churned
83,gannie winman,107792526,+8092966125,gwinman2a@state.tx.us,phone,2026-06-05,churned
84,zulema steptow,345924319,+7147915582,zsteptow2b@toplist.cz,whatsapp,2022-12-03,churned
85,ulises cranny,628177135,+5857537298,ucranny2c@hhs.gov,email,2019-10-02,potential_lead
86,ronnica goldsbury,138785186,+2358206283,rgoldsbury2d@over-blog.com,email,2020-11-21,potential_lead
87,laura coche,751405186,+3705641813,lcoche2e@stumbleupon.com,whatsapp,2025-12-22,former_client
88,brew howel,368377906,+2801022593,bhowel2f@wp.com,email,2019-02-06,former_client
89,richy hiorn,291294445,+2418970476,rhiorn2g@deviantart.com,email,2023-04-28,trial_customer
90,conrad benesevich,730917911,+9019952785,cbenesevich2h@desdev.cn,phone,2024-09-29,loyal_customer
91,bran balazin,592050492,+8669799092,bbalazin2i@myspace.com,whatsapp,2021-10-24,potential_lead
92,valentino soutar,602389431,+6964426998,vsoutar2j@noaa.gov,whatsapp,2025-03-06,loyal_customer
93,bink order,339755093,+4474639065,border2k@ifeng.com,email,2024-12-27,former_client
94,lois valler,378093173,+5237537487,lvaller2l@bigcartel.com,email,2019-11-03,potential_lead
95,dennet hilbourne,607593600,+2307246951,dhilbourne2m@1688.com,whatsapp,2024-02-10,potential_lead
96,michel marcussen,357636582,+6601558883,mmarcussen2n@macromedia.com,email,2025-08-06,active_client
97,sybil mcnerlin,751370435,+8167567360,smcnerlin2o@google.cn,whatsapp,2025-04-13,potential_lead
98,hadrian roycroft,495762745,+5664791638,hroycroft2p@moonfruit.com,whatsapp,2020-04-11,churned
99,valina nolot,255235440,+9976094181,vnolot2q@elegantthemes.com,whatsapp,2025-04-10,former_client
100,kristan heindrich,881022785,+6634639064,kheindrich2r@wikispaces.com,whatsapp,2021-03-08,trial_customer
101,kalila outridge,277729416,+2396119743,koutridge2s@hc360.com,whatsapp,2021-11-16,churned
102,gina millen,785291337,+5178456180,gmillen2t@goo.ne.jp,whatsapp,2019-10-28,trial_customer
103,fergus titterell,827923293,+4228776827,ftitterell2u@icio.us,email,2018-02-14,active_client
104,lesly wharmby,265363652,+8547319311,lwharmby2v@foxnews.com,email,2022-06-11,trial_customer
105,zorina fundell,210578590,+2724616095,zfundell2w@timesonline.co.uk,whatsapp,2025-03-26,loyal_customer
106,caddric shaughnessy,163191581,+8791005659,cshaughnessy2x@economist.com,whatsapp,2025-06-15,potential_lead
107,nat chevin,416227418,+2062338120,nchevin2y@umn.edu,email,2022-01-29,trial_customer
108,patty rous,349241888,+2309064614,prous2z@reuters.com,email,2022-09-12,churned
109,anatola swash,740191873,+8576230208,aswash30@parallels.com,phone,2020-10-23,loyal_customer
110,olympe groucock,817044063,+7848149904,ogroucock31@discuz.net,whatsapp,2018-03-27,former_client
111,fan english,120933398,+5911098913,fenglish32@google.pl,email,2025-10-04,churned
112,ara buckingham,689646637,+1533944779,abuckingham33@istockphoto.com,phone,2022-11-07,trial_customer
113,winifred paulusch,298443217,+8995371564,wpaulusch34@bandcamp.com,phone,2022-10-23,trial_customer
114,charita abercrombie,434058353,+7179975010,cabercrombie35@clickbank.net,phone,2020-09-02,loyal_customer
115,dicky truscott,422350931,+5099702041,dtruscott36@tamu.edu,phone,2025-07-16,trial_customer
116,zea tanzer,247182218,+5174355246,ztanzer37@chronoengine.com,whatsapp,2021-04-29,former_client
117,alleyn newlove,437978182,+2699318851,anewlove38@ed.gov,email,2025-04-23,potential_lead
118,lydie tizzard,819309179,+6132039153,ltizzard39@deviantart.com,phone,2023-01-25,former_client
119,olvan guillerman,716979540,+1582652467,oguillerman3a@ed.gov,phone,2019-10-10,former_client
120,francisca wynett,114547562,+4456835212,fwynett3b@fastcompany.com,email,2021-07-03,active_client
121,garnette mutch,378644730,+7438720312,gmutch3c@fotki.com,whatsapp,2020-02-16,former_client
122,boony tarquini,616248237,+6773467594,btarquini3d@prnewswire.com,email,2020-10-03,churned
123,tova trewin,810326204,+3515441568,ttrewin3e@de.vu,phone,2020-06-08,former_client
124,abbott trebbett,716695898,+1531250516,atrebbett3f@netlog.com,whatsapp,2023-06-22,former_client
125,nickolai yakov,848748387,+5692123837,nyakov3g@blogs.com,whatsapp,2024-03-27,former_client
126,jakie mohun,282760431,+8677143788,jmohun3h@wikipedia.org,whatsapp,2022-12-07,churned
127,tuesday zapater,830388090,+5484706851,tzapater3i@wikia.com,phone,2019-09-02,former_client
