payment_id,invoice_id,payment_date,amount,method,reference,recorded_by
1,455,2022-08-04,29191.54,paypal,30-342-3837,Raynell Angrock
2,915,2026-09-12,26676.73,paypal,84-832-4560,Maje Waterman
3,838,2026-08-22,29284.71,apple_pay,12-504-7600,Armin Buglar
4,88,2026-09-12,16982.8,venmo,97-079-2549,Winona Gomersall
5,430,2021-01-08,45662.42,bitcoin,56-376-8135,Tessa Dahlbom
6,336,2022-03-07,26237.04,apple_pay,53-222-7243,Priscilla Piscot
7,155,2026-09-12,43309.29,venmo,87-070-7297,Robbin Wishkar
8,531,2023-05-14,32700.16,bitcoin,17-694-7528,Letta Jiricka
9,943,2025-06-25,45277.51,card,17-868-4103,Lonnie Nottle
10,22,2026-08-29,41207.7,paypal,20-595-9653,Kenneth Danilov
11,455,2022-08-04,35431.01,bank_transfer,46-129-9866,Marleen Herion
12,630,2022-03-30,38268.58,cash,84-805-1752,Rufe Bucknell
13,767,2025-03-22,46055.7,venmo,10-084-3620,Edyth Collingdon
14,57,2024-01-14,32319.29,cash,05-067-2344,Merilyn Finder
15,911,2024-08-07,27416.84,bank_transfer,34-798-2942,Tiff Demsey
16,348,2026-09-12,26394.21,card,84-125-0024,Connie Sweetnam
17,431,2026-09-12,27004.64,card,49-916-4363,Angelika Ballham
18,562,2026-09-12,34357.42,paypal,39-178-9346,Leonelle Zohrer
19,413,2021-12-02,30629.2,bank_transfer,13-839-1246,Evered Barnard
20,575,2023-08-21,20233.96,google_wallet,72-208-3711,Rafa McLevie
21,400,2019-11-12,25043.11,online_payment,67-052-0095,Bren Issacov
22,229,2023-08-30,6440.82,apple_pay,78-125-9615,Zitella Abramowitz
23,116,2022-03-12,37536.56,online_payment,21-277-9125,Quentin Redborn
24,308,2026-09-12,12847.59,card,22-436-8259,Chicky Sacco
25,185,2021-06-30,4889.45,bank_transfer,70-355-0734,Gael Caseri
26,559,2025-05-16,89.87,venmo,79-538-4975,Rebe Arnaez
27,144,2021-06-18,37380.45,online_payment,15-321-5624,Lock O'Dyvoy
28,12,2026-09-12,10482.63,cash,85-199-0123,Ezmeralda Buckoke
29,542,2026-09-12,32008.57,cash,06-679-8960,Markus Ikringill
30,138,2021-09-06,13604.4,apple_pay,49-604-8198,Clareta Porcas
31,513,2026-06-01,28237.66,card,31-410-6031,Cherri Creeghan
32,363,2021-10-13,35510.11,paypal,59-313-9099,Marleen Godain
33,304,2019-06-15,37360.78,google_wallet,96-696-9944,Hieronymus Tremmil
34,906,2026-07-22,22357.57,bitcoin,71-087-6928,Sheilah Brazer
35,979,2023-04-03,33075.41,cash,26-772-1175,Perl Conkay
36,385,2023-04-08,28882.4,card,23-697-7094,Aurea Till
37,602,2019-12-11,44997.19,apple_pay,93-818-0329,Kennie Walkington
38,176,2026-09-12,14427.03,cash,91-141-6479,Fletcher Wetherhead
39,599,2026-09-12,28164.83,bank_transfer,82-691-8056,Conn Benettelli
40,86,2021-03-10,37404.24,bank_transfer,55-379-1800,Trev Riddles
41,50,2024-09-18,46309.55,google_wallet,03-646-4616,Jasen Astley
42,245,2021-05-27,8446.84,online_payment,99-598-6885,Gabbi Addie
43,142,2026-09-12,43917.51,bitcoin,96-128-1441,Annetta Leipnik
44,305,2026-09-12,44956.01,bitcoin,80-227-9222,Chick Curry
45,395,2024-08-23,35641.38,online_payment,19-950-1838,Brianne Churching
46,345,2022-09-20,14334.86,cash,84-703-7599,Cleopatra Going
47,382,2018-04-22,36654.45,google_wallet,70-952-8349,Luise Seavers
48,619,2026-09-12,21136.98,card,15-696-9975,Em Dodell
49,556,2026-05-17,18231.01,cash,51-916-2699,Pavia Jaques
50,216,2025-09-07,26826.94,online_payment,94-337-4915,Edi Jephson
51,469,2025-06-01,28756.1,google_wallet,21-377-9580,Lilia Teers
52,11,2020-09-29,33304.59,google_wallet,47-601-8845,Mitch Mordon
53,949,2025-12-21,20157.95,paypal,03-630-7736,Heall Gotter
54,917,2024-08-13,20653.06,bitcoin,93-838-8939,Herold Normadell
55,185,2021-06-30,28687.55,card,44-125-4319,Tracie McQuirk
56,77,2023-03-21,6565.94,online_payment,32-943-2845,Milton Barosch
57,245,2026-09-12,47184.81,google_wallet,35-170-2829,Augusto Skingley
